COUNTRYCODE,IIN,CLASSIC_PLATINUM, CONS_CORP_BIN,INTERCHANGE_RATE,INTERCHANGE_PERCENT_RATE,INTERCHANGE_FLAT_RATE,ISSUING_BANK,CARD_SCHEME_BIN,CRED_DEB_BIN,KEY,$COST
US,483673,CLASSIC,CONSUMER,VI Interregional Consumer Standard,0.01600,0.00,Kuveyt Turk Katilim Bankasi A.S.,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.016
US,451842,CLASSIC,CONSUMER,VI Interregional Consumer Standard,0.01600,0.00,Shinhan Card Co. Ltd.,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.016
US,462842,CLASSIC,CONSUMER,VI Interregional Consumer Standard,0.01600,0.00,Shinhan Bank Vietnam Limited,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.016
US,422155,CLASSIC,CONSUMER,VI Interregional Consumer Standard,0.01600,0.00,Shinhan Card Co. Ltd.,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.016
US,461954,CLASSIC,CONSUMER,VI Interregional Consumer Standard,0.01600,0.00,Shinhan Card Co. Ltd.,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.016
US,439226,CLASSIC,CONSUMER,VI Interregional Consumer Standard,0.01600,0.00,China Merchants Bank,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.016
US,410377,CLASSIC,CONSUMER,VI Interregional Consumer Standard,0.01600,0.00,Banco Bilbao Vizcaya Argentaria Uruguay S.A.,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.016
US,535584,CLASSIC,CONSUMER,MC Interregional Consumer Standard,0.01600,0.00,N26 GMBH,MASTERCARD,CREDIT,MASTERCARDCREDITCONSUMERCLASSIC,0.016
US,400221,CLASSIC,CONSUMER,VI Interregional Consumer Standard,0.01600,0.00,Bank of China Limited,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.016
US,464577,CLASSIC,CONSUMER,VI Interregional Consumer Standard,0.01600,0.00,Standard Chartered Bank (Pakistan) Limited,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.016
US,426424,CLASSIC,CONSUMER,VI Interregional Consumer Standard,0.01600,0.00,BRED Bank (Cambodia) Plc,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.016
US,424116,CLASSIC,CONSUMER,VI Interregional Consumer Premium,0.01800,0.00,Invest Bank Plc ,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.018
US,438680,CLASSIC,CONSUMER,VI Interregional Consumer Premium,0.01800,0.00,The Group Finance Company W.L.L. ,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.018
US,430646,CLASSIC,CONSUMER,VI Interregional Consumer Premium,0.01800,0.00,Asia Commercial Bank,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.018
US,465887,PLATINUM,CONSUMER,VI Interregional Consumer Premium,0.01800,0.00,Shinhan Card Co. Ltd.,VISA,CREDIT,VISACREDITCONSUMERPLATINUM,0.018
US,400536,CLASSIC,CONSUMER,VI Interregional Consumer Premium,0.01800,0.00,Emirates NBD Bank (P.J.S.C.),VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.018
US,538459,CLASSIC,CONSUMER,MC Interregional Consumer Premium Standard,0.01850,0.00,Unknown ,MASTERCARD,CREDIT,MASTERCARDCREDITCONSUMERCLASSIC,0.0185
US,546681,CLASSIC,CONSUMER,MC Interregional Consumer Premium Standard,0.01850,0.00,FIRST DATA CONO SUR S.R.L.,MASTERCARD,CREDIT,MASTERCARDCREDITCONSUMERCLASSIC,0.0185
US,538103,CLASSIC,CONSUMER,MC Interregional Consumer Premium Standard,0.01850,0.00,YES BANK LIMITED,MASTERCARD,CREDIT,MASTERCARDCREDITCONSUMERCLASSIC,0.0185
US,512963,CLASSIC,CONSUMER,MC Interregional Consumer Premium Standard,0.01850,0.00,HDFC BANK LIMITED,MASTERCARD,CREDIT,MASTERCARDCREDITCONSUMERCLASSIC,0.0185
US,548278,CLASSIC,CONSUMER,MC Interregional Consumer Premium Standard,0.01850,0.00,CHINA CITIC BANK,MASTERCARD,CREDIT,MASTERCARDCREDITCONSUMERCLASSIC,0.0185
US,542008,CLASSIC,CONSUMER,MC Interregional Consumer Premium Standard,0.01850,0.00,ALAWWAL BANK,MASTERCARD,CREDIT,MASTERCARDCREDITCONSUMERCLASSIC,0.0185
US,431226,CLASSIC,CONSUMER,VI Interregional Consumer Super Premium Program,0.01970,0.00,PT Bank Mega Tbk. ,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.0197
US,423471,CLASSIC,CONSUMER,VI Interregional Consumer Super Premium Program,0.01970,0.00,Banco Bice ,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.0197
US,414089,CLASSIC,CONSUMER,VI Interregional Consumer Super Premium Program,0.01970,0.00,Banco Continental,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.0197
US,520387,BLACK,CONSUMER,MC Interregional Consumer Super Premium Standard,0.01980,0.00,BANCO SANTANDER CHILE ,MASTERCARD,CREDIT,MASTERCARDCREDITCONSUMERBLACK,0.0198
US,520387,BLACK,CONSUMER,MC Interregional Consumer Super Premium Standard,0.01980,0.00,BANCO SANTANDER CHILE,MASTERCARD,CREDIT,MASTERCARDCREDITCONSUMERBLACK,0.0198
US,535590,CLASSIC,CONSUMER,MC Interregional Consumer Super Premium Standard,0.01980,0.00,N26 GMBH ,MASTERCARD,CREDIT,MASTERCARDCREDITCONSUMERCLASSIC,0.0198
US,535585,CLASSIC,CONSUMER,MC Interregional Consumer Super Premium Standard,0.01980,0.00,N26 GMBH ,MASTERCARD,CREDIT,MASTERCARDCREDITCONSUMERCLASSIC,0.0198
US,535585,CLASSIC,CONSUMER,MC Interregional Consumer Super Premium Standard,0.01980,0.00,N26 GMBH,MASTERCARD,CREDIT,MASTERCARDCREDITCONSUMERCLASSIC,0.0198
US,535590,CLASSIC,CONSUMER,MC Interregional Consumer Super Premium Standard,0.01980,0.00,N26 GMBH,MASTERCARD,CREDIT,MASTERCARDCREDITCONSUMERCLASSIC,0.0198
US,546616,CLASSIC,CONSUMER,MC Consumer T&E Large Ticket World Elite,0.02000,0.00,CITIBANK N.A. ,MASTERCARD,CREDIT,MASTERCARDCREDITCONSUMERCLASSIC,0.02
US,552479,CLASSIC,CONSUMER,MC Consumer T&E Large Ticket World Elite,0.02000,0.00,CITIBANK N.A. ,MASTERCARD,CREDIT,MASTERCARDCREDITCONSUMERCLASSIC,0.02
US,549566,CLASSIC,COMMERCIAL,MC Interregional Commercial Standard,0.02000,0.00,NATIONAL BANK OF RAS AL-KHAIMAH (RAKBANK),MASTERCARD,CREDIT,MASTERCARDCREDITCOMMERCIALCLASSIC,0.02
US,519965,CLASSIC,CONSUMER,MC Consumer T&E Large Ticket World Elite,0.02000,0.00,BANK OF AMERICA NATIONAL ASSOCIATION,MASTERCARD,CREDIT,MASTERCARDCREDITCONSUMERCLASSIC,0.02
US,546616,CLASSIC,CONSUMER,MC Consumer T&E Large Ticket World Elite,0.02000,0.00,CITIBANK N.A.,MASTERCARD,CREDIT,MASTERCARDCREDITCONSUMERCLASSIC,0.02
US,542418,CLASSIC,CONSUMER,MC Consumer T&E Large Ticket World Elite,0.02000,0.00,CITIBANK N.A.,MASTERCARD,CREDIT,MASTERCARDCREDITCONSUMERCLASSIC,0.02
US,515676,PLATINUM,CONSUMER,MC Consumer T&E Large Ticket World Elite,0.02000,0.00,CAPITAL ONE BANK (USA) NATIONAL ASSOCIATION,MASTERCARD,CREDIT,MASTERCARDCREDITCONSUMERPLATINUM,0.02
US,403716,CLASSIC,COMMERCIAL,VI Interregional Commercial Corporate,0.02000,0.00,Military Commercial Joint Stock Bank ,VISA,CREDIT,VISACREDITCOMMERCIALCLASSIC,0.02
US,511674,CLASSIC,COMMERCIAL,MC Interregional Commercial Standard,0.02000,0.00,WIRECARD CARD SOLUTIONS LIMITED ,MASTERCARD,CREDIT,MASTERCARDCREDITCOMMERCIALCLASSIC,0.02
US,535586,CLASSIC,COMMERCIAL,MC Interregional Commercial Standard,0.02000,0.00,N26 GMBH ,MASTERCARD,CREDIT,MASTERCARDCREDITCOMMERCIALCLASSIC,0.02
US,483719,CLASSIC,COMMERCIAL,VI Interregional Commercial Business,0.02000,0.00,iCARD AD,VISA,CREDIT,VISACREDITCOMMERCIALCLASSIC,0.02
US,403716,CLASSIC,COMMERCIAL,VI Interregional Commercial Corporate,0.02000,0.00,Military Commercial Joint Stock Bank,VISA,CREDIT,VISACREDITCOMMERCIALCLASSIC,0.02
US,463925,CLASSIC,COMMERCIAL,VI Interregional Commercial Business,0.02000,0.00,National Australia Bank Limited,VISA,CREDIT,VISACREDITCOMMERCIALCLASSIC,0.02
US,440066,SIGNATURE,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Bank of America - Consumer Credit ,VISA,CREDIT,VISACREDITCONSUMERSIGNATURE,0.118
US,440066,SIGNATURE,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Bank of America - Consumer Credit,VISA,CREDIT,VISACREDITCONSUMERSIGNATURE,0.118
US,403297,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Max Credit Union ,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,427082,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,USAA Savings Bank ,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,404657,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,State Employees Credit Union ,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,422544,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,IBERIABANK ,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,442868,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Boeing Employees Credit Union ,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,426428,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Bank of America - Consumer Credit ,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,488893,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Bank of America - Consumer Credit ,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,430679,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Pentagon Federal Credit Union ,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,418450,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Honda Federal Credit Union ,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,415518,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Green Dot Bank DBA Bonneville Bank ,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,431305,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Bank of America - Consumer Credit ,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,403784,PLATINUM,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,U.S. Bank National Association-Credit ,VISA,CREDIT,VISACREDITCONSUMERPLATINUM,0.118
US,405374,PLATINUM,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Alliant Credit Union ,VISA,CREDIT,VISACREDITCONSUMERPLATINUM,0.118
US,470404,PLATINUM,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,University of Hawaii Federal Credit Union ,VISA,CREDIT,VISACREDITCONSUMERPLATINUM,0.118
US,403766,PLATINUM,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,U.S. Bank National Association-Credit ,VISA,CREDIT,VISACREDITCONSUMERPLATINUM,0.118
US,474306,PLATINUM,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Onpoint Community Credit Union ,VISA,CREDIT,VISACREDITCONSUMERPLATINUM,0.118
US,455998,PLATINUM,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Utah Community Federal Credit Union ,VISA,CREDIT,VISACREDITCONSUMERPLATINUM,0.118
US,470503,PLATINUM,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,East County Schools Federal Credit Union ,VISA,CREDIT,VISACREDITCONSUMERPLATINUM,0.118
US,486939,PLATINUM,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Deseret First Federal Credit Union ,VISA,CREDIT,VISACREDITCONSUMERPLATINUM,0.118
US,490970,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Alliant Credit Union ,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,426684,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Chase Bank USA National Association,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,412174,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Capital One Bank (Usa) National Association,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,442868,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Boeing Employees Credit Union,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,427082,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,USAA Savings Bank,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,431305,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Bank of America - Consumer Credit,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,469109,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Banco do Brasil Americas,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,407221,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Wells Fargo Bank National Association,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,445326,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,1ST Financial Bank USA,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,488893,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Bank of America - Consumer Credit,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,488894,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Bank of America - Consumer Credit,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,442644,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Wells Fargo Bank National Association,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,499182,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,DFCU Financial,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,403978,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Via Credit Union,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,446536,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Fifth Third Bank,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,446540,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Wells Fargo Bank National Association,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,407193,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Credit One Bank National Association,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,401724,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,1ST Financial Bank USA,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,426428,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Bank of America - Consumer Credit,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,433402,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,ESL Federal Credit Union,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,499950,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Members 1ST Federal Credit Union,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,412061,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Merrick Bank,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,467621,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Stanford Federal Credit Union,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,473517,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Cyprus Federal Credit Union,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,449036,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Digital Federal Credit Union,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,438864,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Capital One Bank (Usa) National Association,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,405325,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,The Bank of Southside Virginia,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,404657,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,State Employees Credit Union,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,448237,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,ICBA Bancard,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,448236,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,ICBA Bancard,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,440931,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Tucson Federal Credit Union,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,462192,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Capital Bank National Association,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,426290,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Chase Bank USA National Association,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,412134,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Pennsylvania State Employees Credit Union,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,444283,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,First National Bank of Omaha,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,452912,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Merrick Bank,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,438823,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Hawaiian Tel Federal Credit Union,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,471816,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Georgia United Credit Union,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,463829,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Compass Bank,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,402348,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Mountain America Federal Credit Union,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
US,446542,PLATINUM,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Wells Fargo Bank National Association,VISA,CREDIT,VISACREDITCONSUMERPLATINUM,0.118
US,403784,PLATINUM,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,U.S. Bank National Association-Credit,VISA,CREDIT,VISACREDITCONSUMERPLATINUM,0.118
US,486236,PLATINUM,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Capital One Bank (Usa) National Association,VISA,CREDIT,VISACREDITCONSUMERPLATINUM,0.118
US,444796,PLATINUM,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Credit One Bank National Association,VISA,CREDIT,VISACREDITCONSUMERPLATINUM,0.118
US,469596,PLATINUM,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Barclays Bank Delaware,VISA,CREDIT,VISACREDITCONSUMERPLATINUM,0.118
US,403766,PLATINUM,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,U.S. Bank National Association-Credit,VISA,CREDIT,VISACREDITCONSUMERPLATINUM,0.118
US,435577,PLATINUM,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,U.S. Bank National Association-Credit,VISA,CREDIT,VISACREDITCONSUMERPLATINUM,0.118
US,403216,PLATINUM,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Navy Federal Credit Union,VISA,CREDIT,VISACREDITCONSUMERPLATINUM,0.118
US,426451,PLATINUM,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Bank of America - Consumer Credit,VISA,CREDIT,VISACREDITCONSUMERPLATINUM,0.118
US,405374,PLATINUM,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Alliant Credit Union,VISA,CREDIT,VISACREDITCONSUMERPLATINUM,0.118
US,415506,PLATINUM,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Massachusetts Institute of Technology Federal Credit Union,VISA,CREDIT,VISACREDITCONSUMERPLATINUM,0.118
US,405037,PLATINUM,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Chase Bank USA National Association,VISA,CREDIT,VISACREDITCONSUMERPLATINUM,0.118
US,461608,PLATINUM,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Branch Banking and Trust Company-Credit,VISA,CREDIT,VISACREDITCONSUMERPLATINUM,0.118
US,401741,PLATINUM,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Inspirus Credit Union,VISA,CREDIT,VISACREDITCONSUMERPLATINUM,0.118
US,407522,CLASSIC,CONSUMER,VI Consumer CPS ECommerce Basic Credit,0.01800,0.10,Affinity Plus Federal Credit Union,VISA,CREDIT,VISACREDITCONSUMERCLASSIC,0.118
